,cM10a,cM12a,cM19a,cM20a,cM2a,cM34a,cM35a,cM3a,cM41a,cM42a,cM42b,cM44b,cM59a,cM59b,cM5a,cM7b,cM8a,cM9b,cS100a,cS103a,cS104a,cS107a,cS108a,cS109a,cS10a,cS113a,cS115a,cS116a,cS11a,cS129a,cS132a,cS142a,cS153a,cS157a,cS15a,cS162a,cS164a,cS165a,cS168a,cS172a,cS178a,cS184a,cS27b,cS28a,cS30a,cS33a,cS35a,cS37a,cS39c,cS45a,cS46a,cS4a,cS51a,cS53a,cS58a,cS60a,cS61a,cS63a,cS65a,cS66a,cS68a,cS6a,cS71a,cS71b,cS72c,cS76a,cS80a,cS83a,cS86a,cS86b,cS87a,cS88a,cS8b,cS91a,cS97a,cS99a,fM10a,fM16a,fM19a,fM21a,fM23b,fM24a,fM27b,fM29a,fM30a,fM31a,fM35a,fM40a,fM41b,fM48a,fM51a,fM54a,fM59a,fM60a,fS100a,fS101a,fS102a,fS10a,fS111a,fS117a,fS11a,fS121a,fS122a,fS128a,fS12a,fS133b,fS139a,fS13a,fS143a,fS144a,fS146a,fS148a,fS149a,fS14a,fS155a,fS157a,fS158a,fS159a,fS165a,fS170a,fS171a,fS174a,fS177a,fS190a,fS191a,fS24a,fS25a,fS34a,fS35a,fS37a,fS39a,fS41a,fS42a,fS46a,fS4a,fS50a,fS54a,fS56a,fS58a,fS62a,fS63b,fS64a,fS6a,fS70a,fS72b,fS73a,fS74a,fS79a,fS80a,fS81a,fS83a,fS84a,fS85a,fS86a,fS92a,fS93a,fS95a,fS97a,fS99a
cS115a,6498,35889,35905,35909,35887,36210,78109,35909,68748,68744,36210,35893,35958,35897,35916,35898,36216,36208,35465,77204,77208,21,20607,20609,35965,35432,0,67494,35967,20588,65603,20072,66204,20083,77220,65599,20600,67464,77636,65610,65616,46,63,35893,50,65,77777,21384,32535,77681,36452,35644,65591,77211,35465,32530,77197,77212,32527,32528,32528,20070,35466,36470,65597,32536,77657,65604,76507,77862,35905,35901,20086,77664,20095,35425,35887,65601,48,35965,35885,34403,36219,21388,67490,41157,57,77637,77646,33,36,35892,36230,36223,37029,64949,70229,65437,40980,77215,65441,21091,67902,64869,65447,20304,37209,65440,21120,20097,20094,40692,37203,37025,37014,20445,36210,36210,20457,20448,20440,37019,37038,36830,6988,20479,37018,20082,41196,65437,65441,65437,40964,65434,20107,6975,6985,8795,20433,65438,65430,65445,37195,20092,6994,6992,65443,6994,37029,6994,77207,8782,77199,77189,77197,65433,37024,65436,65419
cS116a,67476,68208,68211,68216,68206,68114,68129,68209,42082,42085,68108,68212,68437,68204,68223,68204,68104,68112,67910,69022,69028,67480,67535,67517,68444,68619,67494,0,68450,67533,59594,67307,61214,67292,69025,59596,67536,94,68975,59602,59598,67509,67492,68212,67494,67483,69072,67347,68122,68978,68443,68817,59590,69048,67910,68105,69029,69030,68116,68115,68115,67299,67911,68458,59604,68111,68967,59573,67519,69028,68223,68196,67305,68971,67286,68605,68369,59586,67488,68444,68202,68883,67913,67889,105,67258,67474,68982,68961,67490,67496,68197,67904,67909,68320,61245,39235,60055,67368,69017,60043,67403,41386,60003,60053,67766,68089,60042,67403,67324,67309,67412,68085,68312,68315,67394,68114,68114,67390,67385,67391,68324,68325,68371,67380,67581,68321,67319,67286,60041,60059,60051,67369,60044,67312,67378,67387,66918,67396,60048,60042,60071,68079,67323,67399,67374,60057,67369,68302,67374,69024,66919,69046,69050,69026,60060,68309,60032,60047
cS11a,36714,21057,21063,21067,21055,11212,78049,21070,69465,69463,11212,21061,48,21058,21076,21056,11202,11210,7948,77207,77206,35955,37002,36998,9,25755,35967,68450,0,37013,65866,36719,66038,36709,77218,65865,37016,68428,77237,65877,65882,35983,35970,21061,35973,35970,77400,35186,13251,77276,21056,25316,65857,77217,7948,13250,77202,77208,13243,13244,13244,36719,7949,21082,65866,13256,77251,65862,77200,77479,21073,21052,36708,77258,36700,25743,1305,65866,35970,55,21053,24895,14889,37657,68453,17832,35954,77239,77240,35964,35979,21050,14886,14885,22239,65988,70170,65617,18103,77213,65609,36955,68068,65125,65627,37180,7251,65623,36950,36737,36724,17346,7256,22246,22235,37111,11213,11213,37107,37107,37108,22229,22259,4923,37627,37022,22228,36727,17646,65607,65614,65618,18094,65604,36739,37627,37636,38234,37113,65619,65610,65623,7248,36721,37652,37622,65624,37617,22240,37627,77213,38232,76577,76560,77202,65613,22245,65606,65600
cS129a,20382,35482,35498,35502,35480,36152,77696,35489,68716,68699,36152,35498,36997,35476,35495,35491,36158,36150,36450,76980,76972,20589,44,53,37004,35356,20588,67533,37013,0,65463,18597,66165,18587,76982,65460,30,67504,77608,65471,65476,20601,20604,35486,20591,20597,77784,21069,31953,77638,36301,35989,65464,76990,36450,31941,76975,76976,31947,31946,31946,18600,36451,36319,65459,31947,77615,65465,76864,77860,35510,35492,18597,77624,18606,35341,36675,65461,20588,37004,35488,35983,36120,18972,67529,43250,20588,77610,77611,20588,20603,35495,36117,36116,36481,65010,70121,64401,42824,76979,64413,19754,68142,63997,64405,20490,37041,64399,19773,18601,18598,43093,37028,36470,36459,4239,36152,36152,4257,4228,4258,36471,36483,36362,19563,170,36470,18607,43080,64407,64399,64396,42822,64404,18611,19564,19574,20865,4253,64395,64400,64401,37032,18605,19585,19568,64402,19561,36474,19561,76978,20853,77236,77219,76968,64392,36469,64406,64390
cS132a,65720,65582,65597,65602,65578,65450,76419,65579,58934,58917,65450,65598,65853,65578,65595,65590,65440,65448,65422,76693,76696,65603,65479,65472,65860,66007,65603,59594,65866,65463,0,65580,46802,65555,76709,21,65468,59566,77098,35,21,65610,65600,65586,65598,65605,76365,65383,66013,77133,65969,66346,26,76700,65422,66004,76685,76691,66007,66006,66006,65582,65423,65987,26,66010,77095,33,75225,77246,65610,65594,65576,77103,65571,66001,65719,57,65602,65860,65586,66287,65492,66147,59587,59722,65578,77100,77109,65603,65609,65593,65491,65496,66044,43969,59681,4751,59839,76703,4763,65643,58960,5202,4755,66019,65524,4758,65638,65584,65581,59876,65514,66036,66026,65453,65451,65451,65442,65444,65467,66036,66051,65828,65635,65509,66035,65596,59759,4761,4749,4755,59834,4750,65596,65643,65645,65337,65467,4736,4750,4748,65518,65581,65645,65642,4754,65641,66042,65643,76704,65334,76907,76889,76694,4753,66037,4759,4749
cS142a,19867,35437,35453,35457,35435,36141,77900,35451,68474,68462,36141,35453,36721,35438,35457,35446,36147,36139,36287,76873,76870,20086,18604,18631,36728,35311,20072,67307,36719,18597,65580,0,66115,42,76882,65584,18608,67285,77352,65580,65593,20097,20106,35441,20095,20101,77515,20662,32219,77388,36347,35496,65581,76881,36287,32225,76866,76874,32211,32212,32212,51,36288,36363,65576,32231,77366,65574,76588,77600,35465,35454,44,77375,45,35296,36504,65585,20093,36728,35443,35898,36143,19352,67310,42876,20092,77353,77354,20085,20087,35450,36147,36139,36601,65034,69873,64925,42656,76877,64951,19369,67540,64496,64943,20006,36551,64929,19403,72,69,42618,36556,36608,36597,17893,36141,36141,17911,17889,17898,36591,36621,36059,19998,18628,36590,51,42846,64952,64944,64934,42647,64949,74,19988,19998,20816,17893,64925,64938,64939,36560,66,20009,20005,64940,19996,36612,19997,76875,20804,76992,76975,76866,64930,36607,64951,64928
cS153a,66145,65830,65833,65838,65828,65733,77578,65840,61647,61644,65733,65834,66023,65826,65845,65826,65723,65731,65827,77488,77481,66192,66169,66150,66032,66344,66204,61214,66038,66165,46802,66115,0,66092,77491,46797,66170,61201,77376,46811,46817,66221,66201,65834,66209,66204,77028,65766,66183,77408,66321,66507,46790,77501,65827,66166,77488,77489,66175,66176,66176,66101,65828,66351,46797,66172,77386,46791,76250,77520,65853,65818,66107,77396,66096,66330,65903,46797,66200,66030,65826,66540,65851,66589,61225,61939,66190,77385,77384,66203,66215,65821,65842,65847,66264,46311,61319,47143,61951,77485,47130,66250,61407,47211,47146,66273,65837,47139,66247,66122,66107,61923,65827,66256,66245,66082,65734,65734,66078,66073,66079,66254,66269,66009,66104,66186,66253,66125,61952,47125,47133,47137,61944,47122,66120,66100,66109,65510,66084,47138,47130,47144,65819,66121,66129,66096,47143,66094,66248,66101,77488,65509,77165,77145,77489,47132,66255,47124,47123
cS157a,19879,35418,35422,35426,35416,36134,77864,35425,68455,68436,36134,35422,36693,35400,35431,35427,36124,36132,36262,76855,76833,20083,18612,18605,36700,35308,20083,67292,36709,18587,65555,42,66092,0,76845,65559,18598,67260,77334,65553,65568,20094,20080,35410,20085,20091,77490,20655,32197,77351,36326,35493,65544,76851,36262,32197,76848,76849,32201,32202,32202,63,36263,36342,65551,32191,77341,65559,76567,77582,35434,35416,60,77350,55,35293,36483,65560,20083,36700,35424,35909,36122,19359,67285,42848,20066,77335,77336,20082,20098,35431,36119,36118,36591,65011,69850,64898,42628,76840,64926,19386,67521,64471,64906,20006,36541,64914,19390,58,67,42597,36528,36580,36569,17890,36134,36134,17892,17879,17909,36581,36593,36031,19989,18636,36580,91,42818,64927,64907,64897,42626,64924,70,20005,20015,20834,17904,64910,64913,64902,36532,82,20014,19996,64903,19999,36584,20000,76845,20822,76974,76950,76848,64905,36579,64926,64903
cS15a,76622,76846,76842,76847,76843,77293,33296,76846,67409,67398,77293,76839,77204,76829,76858,76847,77283,77291,76515,52,126,77211,76992,76971,77209,77638,77220,69025,77218,76982,76709,76882,77491,76845,0,76706,76986,69019,7879,76712,76711,77234,77215,76839,77218,77219,8234,77031,76799,7854,77305,77303,76693,153,76515,76791,154,153,76805,76804,76804,76860,76516,77314,76714,76785,7870,76697,34439,7353,76850,76825,76869,7877,76867,77632,76762,76695,77217,77211,76843,77518,77282,76613,69040,76733,77202,7884,7895,77217,77227,76842,77271,77286,76015,78084,68060,77567,77154,44,77561,76795,67138,76882,77554,76919,76836,77566,76791,76875,76876,77053,76823,76004,76007,77037,77294,77294,77033,77026,77038,76019,76019,77081,77074,77018,76018,76892,76761,77555,77559,77552,77153,77564,76874,77089,77098,77590,77039,77567,77556,77571,76815,76891,77092,77073,77558,77083,76002,77086,151,77586,9029,9025,151,77571,76005,77554,77562
cS162a,65716,65581,65596,65601,65577,65449,76416,65578,58932,58915,65449,65597,65852,65577,65594,65589,65439,65447,65421,76690,76693,65599,65476,65469,65859,66015,65599,59596,65865,65460,21,65584,46797,65559,76706,0,65465,59568,77095,54,38,65616,65606,65585,65604,65611,76362,65391,66012,77130,65968,66354,43,76697,65421,66003,76682,76688,66006,66005,66005,65586,65422,65986,23,66009,77092,48,75221,77243,65609,65593,65580,77100,65575,66009,65718,64,65608,65859,65585,66295,65491,66148,59585,59721,65584,77097,77106,65599,65615,65592,65490,65495,66043,43961,59679,4768,59838,76700,4768,65644,58958,5213,4752,66016,65523,4755,65639,65588,65585,59875,65513,66035,66025,65450,65450,65450,65439,65441,65464,66035,66050,65827,65641,65506,66034,65592,59758,4768,4756,4764,59833,4761,65600,65649,65651,65343,65464,4755,4765,4751,65517,65585,65651,65638,4763,65647,66041,65639,76701,65330,76904,76886,76691,4750,66036,4770,4758
cS164a,20394,35485,35501,35505,35483,36155,77700,35492,68720,68703,36155,35501,37000,35479,35498,35494,36161,36153,36453,76984,76976,20591,16,33,37007,35359,20600,67536,37016,30,65468,18608,66170,18598,76986,65465,0,67507,77612,65476,65481,20613,20616,35489,20593,20599,77788,21072,31956,77642,36304,35990,65469,76994,36453,31944,76979,76980,31950,31949,31949,18611,36454,36322,65464,31950,77619,65470,76871,77864,35513,35495,18608,77628,18617,35344,36678,65466,20600,37007,35491,35986,36123,18984,67532,43253,20590,77614,77615,20590,20615,35498,36120,36119,36484,65013,70125,64406,42827,76983,64418,19756,68146,64002,64410,20501,37044,64404,19775,18612,18609,43096,37031,36473,36462,4233,36155,36155,4251,4230,4252,36474,36486,36365,19565,172,36473,18618,43083,64412,64404,64401,42825,64409,18622,19576,19586,20867,4247,64400,64405,64406,37035,18616,19597,19570,64407,19563,36477,19573,76982,20855,77240,77223,76972,64397,36472,64411,64395
cS165a,67448,68182,68197,68202,68180,68098,68131,68183,42088,42079,68098,68186,68415,68178,68197,68190,68088,68096,67888,69016,69009,67462,67518,67500,68422,68601,67464,94,68428,67504,59566,67285,61201,67260,69019,59568,67507,0,68969,59584,59566,67479,67462,68186,67464,67465,69079,67315,68102,68985,68427,68789,59562,69042,67888,68085,69010,69024,68096,68095,68095,67267,67889,68430,59572,68091,68961,59567,67495,69035,68197,68182,67273,68971,67276,68587,68347,59554,67470,68422,68176,68855,67891,67857,107,67234,67444,68976,68955,67460,67478,68183,67882,67887,68294,61217,39226,60048,67344,69011,60038,67375,41372,59973,60032,67736,68073,60035,67375,67292,67289,67388,68063,68286,68289,67363,68098,68098,67359,67354,67372,68298,68299,68349,67363,67552,68295,67297,67262,60032,60042,60030,67345,60039,67302,67373,67382,66900,67365,60037,60025,60054,68057,67291,67382,67369,60036,67352,68288,67357,69018,66889,69053,69044,69007,60039,68283,60027,60030
cS168a,77487,77106,77114,77119,77103,77573,33293,77120,67979,67968,77573,77111,77230,77115,77132,77107,77563,77571,76571,7887,7867,77627,77611,77597,77235,77695,77636,68975,77237,77608,77098,77352,77376,77334,7879,77095,77612,68969,0,77113,77100,77650,77645,77111,77648,77649,942,77831,76945,157,77276,77486,77094,7868,76571,76932,7851,7890,76939,76938,76938,77337,76572,77288,77103,76938,33,77086,34508,686,77122,77111,77339,38,77337,77689,77071,77082,77647,77237,77103,77796,77328,76989,68988,77054,77632,109,136,77633,77643,77102,77331,77332,76364,77865,67747,77385,77503,7867,77367,77200,68084,77232,77372,77336,77029,77372,77196,77364,77353,77350,77023,76360,76363,77572,77574,77574,77568,77575,77573,76368,76375,77143,77721,77639,76367,77362,77125,77361,77377,77370,77488,77370,77363,77724,77733,77556,77574,77373,77362,77389,77015,77361,77739,77720,77376,77718,76358,77721,7880,77552,1562,1546,7854,77377,76361,77360,77368
cS172a,65721,65588,65591,65596,65584,65457,76422,65596,58950,58933,65457,65592,65864,65572,65601,65596,65447,65455,65431,76720,76699,65610,65487,65480,65871,66013,65610,59602,65877,65471,35,65580,46811,65553,76712,54,65476,59584,77113,0,34,65617,65599,65580,65597,65620,76392,65391,66012,77129,65978,66352,23,76715,65431,66015,76712,76718,66018,66017,66017,65592,65432,65996,37,66009,77122,34,75243,77261,65604,65588,65586,77130,65571,66007,65730,80,65609,65871,65592,66293,65503,66154,59605,59733,65585,77115,77124,65602,65624,65599,65502,65507,66055,43971,59709,4740,59850,76706,4774,65644,58976,5225,4766,66026,65532,4759,65647,65582,65591,59887,65522,66047,66037,65461,65458,65458,65457,65452,65482,66047,66062,65839,65632,65517,66046,65596,59770,4779,4755,4754,59845,4768,65584,65652,65661,65346,65475,4749,4761,4754,65526,65591,65649,65646,4760,65642,66053,65667,76700,65343,76934,76916,76709,4756,66048,4770,4760
cS178a,65727,65596,65611,65616,65592,65464,76421,65593,58952,58935,65464,65612,65869,65592,65609,65604,65454,65462,65436,76695,76698,65616,65492,65485,65876,66021,65616,59598,65882,65476,21,65593,46817,65568,76711,38,65481,59566,77100,34,0,65623,65605,65600,65603,65618,76367,65396,66029,77128,65983,66360,43,76702,65436,66020,76687,76693,66023,66022,66022,65595,65437,65987,29,66026,77097,38,75227,77248,65624,65608,65589,77105,65584,66015,65735,58,65615,65876,65600,66301,65508,66160,59605,59738,65591,77102,77111,65608,65622,65607,65507,65512,66046,43959,59681,4772,59855,76705,4770,65650,58964,5207,4756,66032,65538,4763,65653,65597,65594,59892,65528,66038,66042,65466,65465,65465,65455,65457,65480,66052,66053,65844,65650,65522,66051,65609,59775,4762,4768,4756,59850,4769,65609,65658,65660,65352,65480,4751,4755,4767,65532,65594,65652,65657,4755,65648,66044,65658,76699,65349,76909,76891,76696,4760,66039,4764,4768
cS184a,6526,35905,35921,35925,35903,36226,78121,35925,68752,68759,36226,35909,35974,35913,35932,35914,36232,36224,35481,77218,77222,47,20620,20610,35981,35422,46,67509,35983,20601,65610,20097,66221,20094,77234,65616,20613,67479,77650,65617,65623,0,41,35909,28,43,77791,21403,32551,77695,36468,35652,65598,77214,35481,32546,77211,77226,32543,32544,32544,20095,35482,36486,65614,32552,77671,65611,76522,77876,35921,35917,20097,77678,20106,35427,35903,65608,40,35981,35901,34425,36235,21405,67505,41173,55,77651,77660,47,54,35908,36246,36239,37043,64965,70233,65444,40996,77229,65448,21118,67917,64876,65464,20305,37225,65457,21139,20108,20105,40708,37219,37039,37028,20458,36226,36226,20476,20461,20467,37033,37052,36846,6992,20492,37032,20107,41212,65444,65448,65454,40980,65441,20118,6993,6991,8799,20460,65445,65437,65452,37211,20103,7012,7006,65460,6998,37043,7008,77221,8796,77213,77203,77211,65450,37038,65443,65436
cS27b,6535,35902,35918,35922,35900,36225,78107,35908,68763,68745,36225,35906,35954,35896,35915,35911,36215,36223,35464,77213,77203,64,20630,20609,35961,35450,63,67492,35970,20604,65600,20106,66201,20080,77215,65606,20616,67462,77645,65599,65605,41,0,35906,23,46,77772,21405,32545,77669,36465,35660,65588,77220,35464,32525,77206,77207,32537,32538,32538,20089,35465,36483,65604,32531,77652,65601,76517,77871,35918,35900,20098,77659,20099,35443,35898,65598,55,35961,35898,34435,36236,21421,67488,41160,42,77646,77655,56,71,35905,36225,36240,37031,64939,70232,65434,40983,77210,65438,21115,67917,64866,65454,20312,37212,65447,21128,20110,20107,40709,37199,37020,37009,20475,36225,36225,20477,20464,20484,37021,37033,36827,6997,20502,37020,20116,41199,65434,65430,65444,40981,65431,20120,6998,7008,8801,20477,65435,65427,65442,37191,20112,7009,7011,65450,6987,37024,7005,77209,8798,77208,77184,77206,65432,37019,65433,65426
cS28a,36213,34,26,38,32,19746,77966,54,68298,68294,19746,34,21052,30,59,35,19736,19744,19254,76837,76830,35891,35496,35493,21059,24000,35893,68212,21061,35486,65586,35441,65834,35410,76839,65585,35489,68186,77111,65580,65600,35909,35906,0,35906,35914,77310,34528,24154,77144,17976,24286,65576,76833,19254,24155,76830,76845,24158,24159,24159,35445,19255,17990,65583,24149,77132,65589,76704,77385,53,46,35435,77142,35434,23988,20737,65586,35912,21059,32,24405,19035,36183,68207,29917,35888,77111,77112,35889,35915,39,19040,19031,19585,65753,69871,64644,29635,76836,64672,35223,67136,64380,64657,35430,20366,64662,35220,35440,35449,29931,20360,19581,19570,35589,19747,19747,35585,35592,35608,19575,19594,19126,36254,35524,19574,35451,29975,64670,64644,64647,29619,64667,35450,36276,36285,37032,35603,64659,64663,64652,20364,35447,36280,36259,64653,36257,19585,36268,76829,37020,76392,76384,76830,64654,19580,64669,64653
cS30a,6522,35902,35918,35922,35900,36211,78107,35908,68761,68743,36211,35906,35957,35896,35915,35911,36217,36209,35466,77216,77206,41,20607,20602,35964,35430,50,67494,35973,20591,65598,20095,66209,20085,77218,65604,20593,67464,77648,65597,65603,28,23,35906,0,23,77775,21386,32541,77672,36465,35648,65586,77223,35466,32529,77209,77210,32533,32534,32534,20086,35467,36483,65602,32535,77655,65599,76523,77874,35918,35900,20095,77662,20104,35423,35900,65596,42,35964,35898,34421,36232,21411,67490,41156,35,77649,77658,33,58,35905,36229,36236,37033,64943,70230,65432,40979,77213,65436,21092,67915,64864,65452,20306,37215,65445,21121,20099,20096,40705,37202,37022,37011,20452,36211,36211,20470,20441,20461,37023,37035,36829,6974,20479,37022,20105,41195,65432,65436,65442,40977,65429,20109,6985,6995,8786,20454,65433,65425,65440,37194,20101,6996,6988,65448,6972,37026,7000,77212,8783,77211,77187,77209,65430,37021,65431,65424
cS33a,6545,35910,35914,35918,35908,36216,78100,35908,68758,68752,36216,35914,35954,35904,35923,35907,36222,36214,35471,77217,77207,44,20601,20596,35961,35434,65,67483,35970,20597,65605,20101,66204,20091,77219,65611,20599,67465,77649,65620,65618,43,46,35914,23,0,77776,21400,32538,77680,36468,35664,65601,77224,35471,32526,77210,77211,32530,32531,32531,20092,35472,36498,65617,32532,77656,65602,76524,77875,35926,35896,20101,77663,20098,35417,35905,65603,45,35961,35906,34437,36237,21418,67491,41151,50,77650,77649,56,45,35901,36234,36231,37040,64944,70231,65439,40984,77214,65431,21107,67914,64871,65451,20313,37213,65452,21128,20105,20090,40700,37200,37029,37018,20458,36216,36216,20476,20447,20455,37030,37042,36826,6989,20485,37029,20111,41200,65427,65443,65449,40982,65424,20103,6988,6998,8781,20460,65432,65432,65447,37192,20107,7003,6991,65455,6985,37021,6989,77220,8790,77212,77188,77210,65445,37028,65426,65431
cS35a,77629,77305,77313,77318,77302,77777,33604,77305,68237,68226,77777,77310,77386,77300,77317,77306,77767,77775,76770,8248,8228,77768,77794,77773,77391,77942,77777,69072,77400,77784,76365,77515,77028,77490,8234,76362,77788,69079,942,76392,76367,77791,77772,77310,77775,77776,0,78030,77110,941,77509,77733,76373,8237,76770,77090,8226,8231,77104,77103,77103,77493,76771,77520,76370,77096,921,76365,34831,1021,77321,77296,77502,922,77500,77936,77241,76361,77775,77393,77302,78042,77537,77163,69085,77250,77759,943,948,77775,77785,77301,77526,77541,76588,77645,67794,76664,77699,8228,76646,77369,68184,76495,76651,77534,77237,76651,77365,77520,77509,77560,77224,76577,76580,77762,77778,77778,77751,77751,77756,76592,76592,77344,77851,77822,76591,77525,77321,76633,76649,76649,77698,76642,77519,77854,77856,77765,77764,76652,76641,76661,77216,77524,77862,77843,76648,77848,76575,77844,8255,77761,1741,1731,8241,76656,76578,76639,76647
cS37a,20746,34524,34540,34544,34522,34023,78131,34533,68478,68461,34023,34540,35173,34520,34539,34533,34029,34021,34219,77027,77019,21382,21083,21095,35180,34615,21384,67347,35186,21069,65383,20662,65766,20655,77031,65391,21072,67315,77831,65391,65396,21403,21405,34528,21386,21400,78030,0,32398,77862,35149,34846,65384,77035,34219,32389,77020,77023,32392,32391,32391,20668,34220,35167,65379,32395,77840,65389,76953,78106,34552,34536,20662,77849,20671,34608,34867,65392,21393,35180,34532,34948,34022,22259,67345,42439,21383,77832,77841,21382,21406,34539,34021,34026,35272,65306,69895,64758,42083,77026,64774,21281,67432,64398,64764,21730,34981,64758,21293,20669,20666,42231,34971,35264,35253,20504,34023,34023,20516,20495,20525,35262,35277,34133,19794,21137,35261,20679,42356,64777,64769,64755,42079,64770,20679,19804,19814,21477,20518,64754,64763,64766,34975,20670,19822,19799,64761,19800,35268,19809,77030,21465,76897,76875,77020,64751,35263,64772,64749
cS39c,32433,24162,24156,24159,24160,17048,77983,24176,69270,69262,17048,24154,13253,24151,24181,24161,17038,17046,14107,76800,76793,32523,31942,31938,13260,28127,32535,68122,13251,31953,66013,32219,66183,32197,76799,66012,31956,68102,76945,66012,66029,32551,32545,24154,32541,32538,77110,32398,0,76971,24581,27406,65992,76798,14107,20,76795,76801,8,7,7,32226,14108,24605,66013,14,76959,66009,77023,77198,24165,24145,32217,76966,32202,28115,13866,66013,32538,13260,24158,28004,20848,32402,68124,21633,32522,76946,76947,32532,32547,24155,20852,20844,25524,65539,70276,65335,21401,76794,65339,31398,68033,65202,65345,32205,14229,65353,31391,32227,32226,21379,14234,25531,25520,32168,17048,17048,32164,32164,32165,25514,25544,11366,32823,31962,25513,32229,22044,65337,65339,65336,21392,65334,32229,32835,32844,33992,32170,65349,65340,65341,14226,32223,32848,32818,65342,32832,25525,32842,76794,33990,76403,76386,76795,65343,25530,65336,65330
cS45a,77525,77151,77147,77152,77148,77607,33292,77151,67994,67983,77607,77144,77262,77134,77163,77152,77597,77605,76605,7880,7844,77672,77648,77627,77267,77742,77681,68978,77276,77638,77133,77388,77408,77351,7854,77130,77642,68985,157,77129,77128,77695,77669,77144,77672,77680,941,77862,76971,0,77322,77533,77117,7885,76605,76963,7882,7871,76977,76976,76976,77366,76606,77333,77138,76957,148,77121,34547,699,77155,77130,77375,159,77373,77736,77117,77117,77678,77269,77148,77843,77374,77034,68991,77086,77663,90,87,77671,77688,77147,77363,77378,76403,77890,67750,77408,77535,7854,77402,77227,68099,77267,77395,77369,77068,77407,77230,77381,77382,77396,77055,76392,76395,77616,77608,77608,77612,77605,77617,76407,76407,77175,77742,77676,76406,77398,77157,77396,77400,77393,77534,77405,77380,77757,77766,77594,77618,77408,77397,77412,77047,77397,77753,77741,77399,77744,76390,77754,7857,77590,1555,1569,7879,77405,76393,77395,77403
cS46a,36666,17972,17976,17980,17970,20388,78188,17992,68986,68993,20388,17976,21045,17980,17998,17969,20378,20386,20486,77289,77293,36438,36299,36284,21054,25303,36452,68443,21056,36301,65969,36347,66321,36326,77305,65968,36304,68427,77276,65978,65983,36468,36465,17976,36465,36468,77509,35149,24581,77322,0,26131,65960,77297,20486,24570,77282,77295,24573,24574,24574,36337,20487,59,65967,24576,77296,65963,76722,77556,17995,17972,36339,77303,36328,25299,21444,65969,36459,21052,17968,25713,20072,36907,68446,30937,36447,77278,77287,36448,36461,17963,20077,20076,9220,66050,70340,64950,30342,77300,64942,36222,67955,64775,64960,36240,21279,64956,36217,36356,36341,30943,21273,9216,9205,36205,20389,20389,36201,36208,36200,9210,9229,19461,36637,36319,9209,36357,31183,64938,64948,64951,30327,64935,36356,36635,36644,37483,36207,64952,64943,64956,21265,36351,36662,36630,64957,36636,9208,36646,77293,37483,76592,76582,77282,64946,9215,64937,64933
cS4a,34896,24282,24298,24302,24280,25627,78507,24303,69028,69026,25627,24298,25305,24290,24308,24291,25633,25625,24011,77287,77290,35642,35997,36011,25314,5449,35644,68817,25316,35989,66346,35496,66507,35493,77303,66354,35990,68789,77486,66352,66360,35652,35660,24286,35648,35664,77733,34846,27406,77533,26131,0,66348,77293,24011,27393,77279,77294,27398,27399,27399,35498,24012,26145,66352,27399,77507,66349,77355,77795,24310,24306,35488,77514,35505,5442,25000,66346,35656,25312,24290,7443,24860,36362,68811,34041,35646,77489,77498,35641,35658,24297,24863,24864,25995,66186,70468,65730,33952,77298,65746,35809,67047,65524,65752,35908,24000,65745,35823,35507,35504,33185,23994,25991,25980,36228,25628,25628,36240,36231,36247,25985,26004,24637,36506,35999,25984,35506,34495,65744,65728,65742,33938,65741,35517,36516,36526,37231,36242,65733,65737,65738,23998,35502,36532,36520,65748,36503,25995,36523,77291,37228,76715,76705,77278,65737,25990,65743,65736
cS51a,65708,65584,65587,65592,65580,65441,76403,65592,58930,58913,65441,65576,65844,65568,65597,65592,65431,65439,65413,76701,76680,65591,65480,65461,65851,66009,65591,59590,65857,65464,26,65581,46790,65544,76693,43,65469,59562,77094,23,43,65598,65588,65576,65586,65601,76373,65384,65992,77117,65960,66348,0,76696,65413,65995,76693,76699,65998,65997,65997,65571,65414,65978,38,65989,77103,33,75221,77242,65588,65572,65577,77111,65572,66003,65710,69,65590,65851,65576,66277,65483,66135,59583,59713,65566,77096,77105,65591,65605,65583,65482,65487,66035,43965,59689,4741,59830,76687,4753,65631,58956,5214,4755,66007,65526,4758,65626,65573,65582,59867,65516,66027,66017,65454,65442,65442,65450,65445,65463,66027,66042,65819,65611,65510,66026,65597,59750,4756,4744,4743,59825,4745,65585,65631,65640,65325,65456,4748,4738,4743,65508,65582,65636,65625,4749,65629,66033,65646,76688,65322,76915,76897,76690,4753,66028,4747,4737
